1001-A,1001-B,1001-C,1002-A,1003-A,1003-B,1004-A,1004-B,1004-C,1004-D,1004-E,1005-A,1005-B,1005-C,3002-A,3002-B,3003-A,3003-B,3003-C,3004-A,3005-A,3005-B,3005-C,3005-D,3006-A,3007-A,3008-A,3009-A,3010-A,3011-A,3012-A,3013-A,3014-A,3015-A,4001-A,4002-A,4003-A,4004-A,4005-A,4006-A,4007-A,4008-A,4009-A,5001-A,5002-A,5003-A,5004-A,5005-A,5006-A,5007-A,5007-B,5008-A,5009-A,Date
1,1,0,1,0,0,0,0,0,0,2,2,1,0,2,1,0,2,0,1,1,1,2,1,0,2,1,1,2,2,2,0,0,2,0,1,0,2,0,0,2,2,0,0,0,2,0,1,0,0,1,0,2,2024-09-03 21:01:48.797914
1,1,2,0,1,0,2,0,1,2,1,2,0,0,2,2,0,0,2,1,1,2,1,0,2,1,2,0,0,0,1,1,2,0,0,2,1,2,1,1,0,0,2,0,1,0,0,0,1,1,2,2,1,2024-09-04 21:01:48.797914
1,2,1,1,0,0,0,0,1,0,0,2,2,1,2,1,1,2,2,0,1,1,0,2,1,2,2,1,0,0,2,1,0,0,2,2,0,0,0,1,1,0,1,1,0,0,1,1,0,0,2,0,0,2024-09-05 21:01:48.797914
2,0,2,2,0,1,1,1,2,0,0,1,0,0,0,1,0,1,0,0,2,0,2,1,2,2,2,1,1,0,0,1,1,1,2,1,0,0,1,2,0,0,0,2,2,0,1,2,1,2,2,1,0,2024-09-06 21:01:48.797914
0,0,1,2,2,1,2,2,0,2,2,1,1,2,0,2,1,2,1,1,0,2,0,0,0,2,0,1,0,2,0,0,2,2,0,1,0,0,0,0,1,0,1,2,1,0,1,2,2,0,2,0,2,2024-09-07 21:01:48.797914
0,0,1,0,0,1,1,1,0,1,1,2,1,0,2,1,1,1,2,1,0,0,1,1,0,2,0,1,2,1,1,1,0,1,2,1,0,2,2,0,0,0,1,1,2,2,2,1,1,2,1,1,2,2024-09-08 21:01:48.797914
0,0,1,0,0,0,2,2,1,0,0,2,1,2,1,1,0,2,0,1,1,0,2,2,0,1,2,0,0,2,0,1,1,2,1,0,0,1,2,2,0,0,1,1,0,0,0,2,2,1,1,0,0,2024-09-09 21:01:48.797914
0,1,1,0,2,0,2,1,0,1,2,0,1,1,2,1,1,1,1,1,0,0,2,2,0,2,0,2,0,1,0,2,0,0,2,0,0,2,2,0,0,0,0,1,0,2,1,1,2,0,0,2,0,2024-09-10 21:01:48.797914
1,1,1,0,2,0,0,2,0,0,1,0,0,2,2,0,2,2,1,0,0,0,2,2,1,0,0,2,2,0,1,2,2,0,2,1,1,0,0,2,1,1,1,0,0,0,0,1,0,0,2,2,0,2024-09-11 21:01:48.797914
1,1,1,0,1,2,1,0,0,2,1,1,2,1,0,1,1,2,0,2,2,1,0,2,0,2,1,2,2,1,0,2,0,0,1,0,2,1,1,1,2,0,1,1,2,1,2,2,0,2,2,2,1,2024-09-12 21:01:48.797914
0,0,2,0,2,2,0,1,0,0,1,2,1,0,2,1,1,1,1,2,2,0,2,0,2,0,1,0,0,1,2,2,2,2,0,0,1,1,2,2,0,2,2,1,2,2,1,2,2,2,2,0,0,2024-09-13 21:01:48.797914
2,0,1,2,1,2,1,0,2,1,1,1,2,1,0,1,2,2,0,1,0,1,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,1,0,1,2,1,2,2,2,2,1,0,1,0,1,1,1,2024-09-14 21:01:48.797914
2,0,2,0,1,2,1,2,2,1,2,1,0,1,1,2,2,2,2,1,2,2,1,1,2,2,0,2,0,2,0,1,0,1,1,0,1,2,2,0,0,0,0,0,0,2,2,2,2,2,1,0,2,2024-09-15 21:01:48.797914
0,2,1,1,1,1,2,1,2,1,2,0,1,0,1,1,1,1,2,2,0,0,0,0,1,0,0,2,1,1,1,2,0,1,1,1,0,2,2,1,1,2,0,1,1,1,2,2,1,0,1,2,1,2024-09-16 21:01:48.797914
